fuente,nombre,marca,categoria,url,ingredientes,condiciones_alimentarias,porcion,porciones_por_envase,energia_kcal,proteinas_g,grasas_totales_g,grasas_saturadas_g,grasas_trans_g,colesterol_mg,carbohidratos_g,azucares_g,sodio_mg,fibra_dietetica_g,tipo_alimento,base_calculo,sello_alto_calorias,sello_alto_azucares,sello_alto_grasas_sat,sello_alto_sodio,total_sellos
Jumbo,Chocolate de Leche Vizzio 120 g,Costa,"Bombones y Trufas > Chocolates > Chocolates, Galletas y Snacks",https://www.jumbo.cl/bombones-costa-estuche-120-g-vizzio-2,"Azúcar,  Almendras 24%,  Manteca de cacao,  Suero de leche,  Proteínas lácteas concentradas,  Pasta de cacao,  Leche en polvo,  Aceite vegetal fraccionado de shea,  Aceite vegetal fraccionado de palma,  Cacao en polvo,  Goma arábiga,  Emulsionante lecitina de soya,  Emulsionante polirricinoleato de poliglicerol,  Aceite vegetal fraccionado de coco,  ácido cítrico,  Goma xantán,  Sorbato de potasio,  Goma laca,  Algarrobo en polvo,  Jarabe de glucosa,  Saborizante artificial vainillina,  Avellanas,  Harina de trigo,  Maní,  Almendras,  Leche,  Soya,  Gluten","Libre de Peces, Libre de Mariscos",8 Unidades (28 g),4,536 / 150.1,6.9 / 1.9,32 / 9,12.9 / 3.6,0.64 / 0.2,4.2 / 1.2,55 / 15.4,53 / 14.8,99 / 27.7,,solido,por_100g,SI,SI,SI,NO,3
Jumbo,Leche Evaporada Loncoleche 200 ml,Loncoleche,"Leches Condensadas y Evaporadas > Harinas, Postres y Repostería > Despensa",https://www.jumbo.cl/leche-evaporada-loncoleche-200-ml-1952439,"Leche entera,  Fosfato disódico,  Citrato de sodio,  Carragenina,  Enzima lactasa","Vegetariano, Libre de Huevo, Libre de Peces, Libre de Mariscos, Libre de Maní, Libre de Frutos Secos, Libre de Nueces, Libre de Sulfitos, Libre de Trigo, Libre de Lactosa",1/2 Taza (100 ml),2,161 / 161,5.3 / 5.3,8.3 / 8.3,5.5 / 5.5,0.2 / 0.2,17 / 17,16.2 / 16.2,7.8 / 7.8,93 / 93,,liquido,por_100ml,SI,SI,SI,NO,3
Jumbo,Chocolate Karina Leche 100 g,Karina,"Chocolates en Barra > Chocolates > Chocolates, Galletas y Snacks > Experiencias Jumbo > Productos Importados > Productos Alemanes",https://www.jumbo.cl/chocolate-karina-barra-100-g-leche-2,"Azúcar,  Manteca de cacao,  Masa de cacao,  Leche entera en polvo,  Crema de leche en polvo,  Suero de leche dulce en polvo,  Grasa butírica,  Lecitina de soya,  Aromatizante vainillina, Azúcar,  Manteca de cacao,  Masa de cacao,  Leche entera en polvo,  Crema de leche en polvo,  Suero de leche dulce en polvo,  Grasa butírica,  Lecitina de soya,  Aromatizante vainillina","Vegetariano, Libre de Huevo, Libre de Peces, Libre de Mariscos, Libre de Maní, Libre de Nueces, Libre de Sulfitos",3 Trozos (20 g),"5, 5",537 / 107.4,6.4 / 1.3,31 / 6.2,19 / 3.8,0.5 / 0.1,26 / 5.2,55 / 11,54 / 10.8,91 / 18.2,,solido,por_100g,SI,SI,SI,NO,3
Jumbo,Chocolate de Leche Milka 55 g,Milka,"Chocolates y Tentaciones > Chocolates > Chocolates, Galletas y Snacks",https://www.jumbo.cl/milka-mensajes-leche-55gr,"Azúcar,  Manteca de cacao,  Leche entera en polvo,  Pasta de cacao,  Suero de leche en polvo,  Grasa anhidra de leche,  Emulsionante lecitina de soja,  Emulsionante polirricinoleato de poliglicerol,  Aromatizante idéntico al natural vainillina,  Leche,  Derivados de soja","Vegetariano, Libre de Huevo, Libre de Peces, Libre de Mariscos, Libre de Nueces, Libre de Sulfitos",7 Cuadraditos (27.5 g),2,524 / 144.1,6.7 / 1.8,30 / 8.3,18 / 5,0.2 / 0.1,22 / 6.1,58 / 16,57 / 15.7,102 / 28.1,,solido,por_100g,SI,SI,SI,NO,3
Jumbo,Chocolate de Leche Schogetten 100 g,Schogetten,"Chocolates en Barra > Chocolates > Chocolates, Galletas y Snacks > Experiencias Jumbo > Productos Importados > Productos Alemanes",https://www.jumbo.cl/chocolate-schogetten-100-g-leche,"Azúcar,  Manteca de cacao,  Nata en polvo 13%,  Masa de cacao,  Leche en polvo 5.4%,  Lecitina de soya,  Grasa butírica,  Saborizante natural vainilla,  Leche (lactosa),  Soya","Vegetariano, Libre de Peces, Libre de Mariscos, Libre de Sulfitos, Kosher",3 Unidades (16.7 g),6,551 / 92,5.5 / 0.9,33 / 5.5,20 / 3.3,0.5 / 0.1,52 / 8.7,57 / 9.5,56 / 9.4,54.6 / 9.1,,solido,por_100g,SI,SI,SI,NO,3
Jumbo,Crema de Leche Loncoleche 250 g,Loncoleche,"Cremas > Harinas, Postres y Repostería > Despensa",https://www.jumbo.cl/crema-de-lec-250gr-2032692,"Leche fluida descremada,  Crema de leche,  Polidextrosa,  Sólidos lácteos,  Mono y diglicéridos de ácidos grasos,  Goma guar,  Goma tara,  Carragenina,  ésteres de propilenglicol de ácidos grasos,  Saborizante idéntico a natural,  Fosfato dipotásico,  Polisorbato 80,  Antioxidante bht","Libre de Huevo, Libre de Peces, Libre de Mariscos, Libre de Maní, Libre de Frutos Secos, Libre de Nueces, Libre de Sulfitos, Libre de Trigo, Libre de Gluten",2 Cucharadas (20 ml),13,121 / 24.2,2.8 / 0.6,10 / 2,5.9 / 1.2,0.3 / 0.1,30 / 6,4.5 / 0.9,4.4 / 0.9,45 / 9,,solido,por_100g,NO,NO,SI,NO,1
Jumbo,Leche Condensada Doypack 200 g,Cuisine & Co,"Leches Condensadas y Evaporadas > Harinas, Postres y Repostería > Despensa > Experiencias Jumbo > Marcas Exclusivas > Cuisine & Co",https://www.jumbo.cl/leche-condensada-doypack-200-g-cuisine-and-co-1844303,"Leche natural entera pasteurizada,  Azúcar,  Glucosa,  Estabilizante citrato de sodio sin 331,  Leche (lactosa-caseína)","Vegetariano, Libre de Peces, Libre de Mariscos, Libre de Sulfitos, Libre de Trigo",3 Cucharaditas (30 g),7,342 / 102.6,4.4 / 1.3,6.9 / 2.1,3.6 / 1.1,0 / 0,16.9 / 5.1,65.5 / 19.7,43.4 / 13,118 / 35.4,,solido,por_100g,SI,SI,NO,NO,2
Jumbo,Leche Colun Descremada 200 ml,Colun,"Leche Líquida > Leches > Lácteos, Huevos y Congelados",https://www.jumbo.cl/leche-descremada-colun-caja-200-cc-natural,"Leche fluida natural descremada,  Vitamina d3","Libre de Soya, Libre de Huevo, Libre de Mariscos, Libre de Maní, Libre de Frutos Secos, Libre de Nueces, Libre de Sulfitos, Libre de Trigo, Libre de Gluten, Kosher",1 Vaso (200 ml),1,34 / 68,3.3 / 6.6,0.1 / 0.2,0.07 / 0.1,0 / 0,0.32 / 0.6,4.7 / 9.4,4.7 / 9.4,40 / 80,,liquido,por_100ml,NO,NO,NO,NO,0
Jumbo,Chocolate de Leche Toblerone 200 g,Toblerone,"Chocolates en Barra > Chocolates > Chocolates, Galletas y Snacks",https://www.jumbo.cl/chocolate-toblerone-200-g-vollmich,"Azúcar,  Leche entera en polvo,  Manteca de cacao,  Pasta de cacao,  Miel 3.1%,  Grasa anhidra de leche,  Almendras 1.6%,  Azúcar invertido,  Clara de huevo,  Emulsionante (lecitina de soya),  Aroma idéntico al natural (vainillina),  Leche,  Almendra,  Derivados de soya,  Huevo","Vegetariano, Libre de Peces, Libre de Mariscos, Libre de Maní, Libre de Nueces, Libre de Sulfitos, Libre de Trigo, Libre de Gluten, Kosher",1/8 Unidad (25 g),8,530 / 132.5,5.6 / 1.4,29 / 7.3,18 / 4.5,0.3 / 0.1,24 / 6,61 / 15.3,60 / 15,50 / 12.5,,solido,por_100g,SI,SI,SI,NO,3
Jumbo,Leche Colun Semidescremada 200 ml,Colun,"Leche Líquida > Leches > Lácteos, Huevos y Congelados",https://www.jumbo.cl/leche-semidescremada-200-ml,"Leche fluida natural semidescremada,  Vitamina d3","Libre de Soya, Libre de Huevo, Libre de Mariscos, Libre de Maní, Libre de Frutos Secos, Libre de Nueces, Libre de Sulfitos, Libre de Trigo, Libre de Gluten",1 Vaso (200 ml),1,42 / 84,3.2 / 6.4,1.2 / 2.4,0.77 / 1.5,0.04 / 0.1,4 / 8,4.6 / 9.2,4.6 / 9.2,40 / 80,,liquido,por_100ml,NO,NO,NO,NO,0
Jumbo,Chocolate Milka de Leche 250 g,Milka,"Chocolates en Barra > Chocolates > Chocolates, Galletas y Snacks",https://www.jumbo.cl/chocolate-milka-2037150,"Azúcar,  Manteca de cacao,  Pasta de cacao,  Leche descremada en polvo,  Suero de leche en polvo,  Grasa anhidra de leche,  Pasta de avellana,  Emulsionante lecitina de soya,  Aromatizante idéntico al natural vainillina,  Leche,  Avellana,  Derivados de soya","Vegetariano, Libre de Huevo, Libre de Peces, Libre de Mariscos, Libre de Sulfitos",4 Rectángulos (27.8 g),9,533 / 148.2,6.5 / 1.8,31 / 8.6,19 / 5.3,0 / 0,,57 / 15.8,55 / 15.3,110 / 30.6,,solido,por_100g,SI,SI,SI,NO,3
Jumbo,Leche Colun Manjar 200 cc,Colun,"Leche Líquida > Leches > Lácteos, Huevos y Congelados",https://www.jumbo.cl/leche-semidescremada-colun-sabor-manjar-200-ml,"Leche natural parcialmente descremada,  Proteínas lácteas,  Fructosa,  Colorante natural annato,  Colorante natural caramelo,  Espesante celulosa microcristalina,  Espesante carboximetilcelulosa,  Espesante maltodextrina,  Espesante carragenina,  Saborizante idéntico a natural (manjar),  Fosfato disódico,  Edulcorante estevia,  Edulcorante sucralosa,  Vitamina a,  Vitamina e,  Vitamina d3 (origen animal), Leche natural parcialmente descremada,  Proteínas lácteas,  Fructosa,  Colorante natural annato,  Colorante natural caramelo,  Espesante celulosa microcristalina,  Espesante carboximetilcelulosa,  Espesante maltodextrina,  Espesante carragenina,  Saborizante idéntico a natural (manjar),  Fosfato disódico,  Edulcorante estevia,  Edulcorante sucralosa,  Vitamina a,  Vitamina e,  Vitamina d3 (origen animal)","Libre de Soya, Libre de Huevo, Libre de Mariscos, Libre de Maní, Libre de Frutos Secos, Libre de Nueces, Libre de Sulfitos, Libre de Trigo, Libre de Soya, Libre de Gluten, Libre de Huevo, Libre de Mariscos, Libre de Maní, Libre de Frutos Secos, Libre de Nueces, Libre de Sulfitos, Libre de Trigo, Libre de Gluten","1 Vaso (200 ml), 1 Vaso (200 ml)",1,46 / 92,"3.1 / 6.2, 3.1 / 6.2","1.3 / 2.6, 1.3 / 2.6",,,,"5.5 / 11, 5.5 / 11","5 / 10, 5 / 10","60 / 120, 60 / 120",,solido,por_100g,NO,NO,sin_datos,NO,0
Jumbo,Chocolate Karina de Leche 100 g,Karina,"Chocolates en Barra > Chocolates > Chocolates, Galletas y Snacks > Experiencias Jumbo > Productos Importados > Productos Alemanes",https://www.jumbo.cl/chocolate-karina-barra-100-g-con-pasas-y-avellanas-2,"Azúcar,  Pasas,  Manteca de cacao,  Masa de cacao,  Leche entera en polvo,  Avellanas,  Crema de leche en polvo,  Suero de leche dulce en polvo,  Grasa butírica,  Lecitina de soya,  Aromatizante vainillina","Vegetariano, Libre de Huevo, Libre de Peces, Libre de Mariscos, Libre de Sulfitos",3 Trozos (20 g),5,513 / 102.6,6.3 / 1.3,29 / 5.8,16 / 3.2,0.4 / 0.1,21 / 4.2,55 / 11,54 / 10.8,76 / 15.2,,solido,por_100g,SI,SI,SI,NO,3
Jumbo,Helado Jumbo Chocolate Dulce de Leche,Jumbo,"Helados Premium > Helados y Postres > Lácteos, Huevos y Congelados",https://www.jumbo.cl/choc-dulce-leche-2064119,,,,,,,,,,,,,,,liquido,por_100ml,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Chocolate de Leche Chubi 103 g,Arcor,"Chocolates en Barra > Chocolates > Chocolates, Galletas y Snacks",https://www.jumbo.cl/tableta-chubi-103g-1959635,"Azúcar,  Grasa vegetal fraccionada e interesterificada de palma,  Grasa vegetal fraccionada e interesterificada de shea,  Grasa vegetal fraccionada e interesterificada de palmiste,  Cacao en polvo,  Leche descremada en polvo,  Suero de leche,  Masa de cacao,  Leche entera en polvo,  Harina de trigo,  Azúcar,  Aceite de maravilla/girasol alto oleico,  Manteca de palma fraccionada,  Aceite de soya,  Almidón de maíz,  Sal,  Jarabe de glucosa,  Extracto de malta cebada,  Grasa vegetal fraccionada de palma,  Grasa vegetal fraccionada de shea,  Manteca de cacao,  Emulsionante lecitina de soya,  Emulsionante poliglicerol polirricinoleato,  Saborizantes idénticos a natural,  Colorante dióxido de titanio ins 171,  Colorante rojo allura ac ins 129,  Colorante tartrazina ins 102,  Colorante amarillo ocaso ins 110,  Colorante azul brillante fcf ins 133,  Colorante indigotina ins 132,  Estabilizante goma arábiga,  Sustancia de recubrimiento goma laca,  Sustancia de recubrimiento cera carnauba,  Tartrazina,  Leche,  Trigo,  Gluten,  Derivados de soya,  Cebada","Libre de Peces, Libre de Mariscos, Libre de Nueces, Libre de Sulfitos",3 Cuadrados (20.6 g),5,515 / 106.1,4 / 0.8,28 / 5.8,18 / 3.7,0.3 / 0.1,3.8 / 0.8,62 / 12.8,59 / 12.2,42 / 8.7,,solido,por_100g,SI,SI,SI,NO,3
Jumbo,Leche Colun Entera 1 L,Colun,"Leche Líquida > Leches > Lácteos, Huevos y Congelados",https://www.jumbo.cl/leche-entera-colun-caja-1-l-natural,"Leche fluida natural entera,  Vitamina d3","Libre de Soya, Libre de Huevo, Libre de Mariscos, Libre de Maní, Libre de Frutos Secos, Libre de Nueces, Libre de Sulfitos, Libre de Trigo, Libre de Gluten, Kosher",1 Vaso (200 ml),5,59 / 118,3.1 / 6.2,3.1 / 6.2,1.98 / 4,0.13 / 0.3,10 / 20,4.6 / 9.2,4.6 / 9.2,40 / 80,,liquido,por_100ml,NO,NO,NO,NO,0
Jumbo,Leche Surlat Entera 1 L,Surlat,"Leche Líquida > Leches > Lácteos, Huevos y Congelados",https://www.jumbo.cl/leche-entera-surlat-b-a-1l-1991554,,,,,,,,,,,,,,,liquido,por_100ml,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Leche Colun Entera 200 ml,Colun,"Leche Líquida > Leches > Lácteos, Huevos y Congelados",https://www.jumbo.cl/leche-entera-colun-caja-200cc-natural,"Leche fluida natural entera,  Vitamina d3","Libre de Soya, Libre de Huevo, Libre de Mariscos, Libre de Maní, Libre de Frutos Secos, Libre de Nueces, Libre de Sulfitos, Libre de Trigo, Libre de Gluten, Kosher",1 Vaso (200 ml),1,59 / 118,3.1 / 6.2,3.1 / 6.2,1.98 / 4,0.13 / 0.3,10 / 20,4.6 / 9.2,4.6 / 9.2,40 / 80,,liquido,por_100ml,NO,NO,NO,NO,0
Jumbo,Chocolate de Leche Milka 125 g,Milka,"Chocolates en Barra > Chocolates > Chocolates, Galletas y Snacks",https://www.jumbo.cl/chocolate-milka-leche-125-gr-1961630,"Azúcar,  Manteca de cacao,  Pasta de cacao,  Leche descremada en polvo,  Suero de leche en polvo,  Grasa anhidra de leche,  Emulsionante lecitina de soya,  Pasta de avellana,  Saborizante idéntico al natural vainillina,  Leche,  Avellana,  Soya, Azúcar,  Manteca de cacao,  Pasta de cacao,  Leche descremada en polvo,  Suero de leche en polvo,  Grasa anhidra de leche,  Emulsionante lecitina de soya,  Pasta de avellana,  Saborizante idéntico al natural vainillina,  Leche,  Avellana,  Soya","Vegetariano, Libre de Huevo, Libre de Peces, Libre de Mariscos, Libre de Maní, Vegetariano, Libre de Nueces, Libre de Huevo, Libre de Sulfitos, Libre de Peces, Libre de Mariscos, Libre de Maní, Libre de Nueces, Libre de Sulfitos","1/4 de Unidad (31.2 g), 1/4 de Unidad (31.2 g)","4, 4","534 / 166.6, 534 / 166.6","6.5 / 2, 6.5 / 2","31 / 9.7, 31 / 9.7","19 / 5.9, 19 / 5.9","0.2 / 0.1, 0.2 / 0.1","20 / 6.2, 20 / 6.2","57 / 17.8, 57 / 17.8","55 / 17.2, 55 / 17.2","110 / 34.3, 110 / 34.3",,solido,por_100g,SI,SI,SI,NO,3
Jumbo,Helado Dulce de Leche 750 g,Jumbo,"Helados Tradicionales > Helados y Postres > Lácteos, Huevos y Congelados",https://www.jumbo.cl/helado-dulce-de-leche-750-g,"Leche fluida entera (uht),  Leche,  Azúcar,  Dextrosa,  Sólidos lácteos,  ácido regulador ins 500ii bicarbonato de sodio,  Crema de leche (uht),  Leche en polvo entera,  Azúcar,  Yema de huevo pasteurizada,  Clara de huevo pasteurizada,  Estabilizante goma guar (ins 412),  Huevo","Vegetariano, Libre de Soya, Libre de Peces, Libre de Mariscos, Libre de Sulfitos, Libre de Trigo",1 Bolita (60 g),13,227 / 136.2,7 / 4.2,10.5 / 6.3,5.9 / 3.5,0 / 0,167 / 100.2,31 / 18.6,29 / 17.4,256 / 153.6,,solido,por_100g,NO,SI,SI,NO,2
Jumbo,Chocolate Karina de Leche 100 g,Karina,"Chocolates en Barra > Chocolates > Chocolates, Galletas y Snacks > Experiencias Jumbo > Productos Importados > Productos Alemanes",https://www.jumbo.cl/chocolate-karina-barra-100-g-con-avellanas-2,"Azúcar,  Manteca de cacao,  Masa de cacao,  Leche entera en polvo,  Avellanas picadas,  Crema de leche en polvo,  Suero de leche dulce en polvo,  Grasa butírica,  Lecitina de soya,  Aromatizante natural","Vegetariano, Libre de Huevo, Libre de Peces, Libre de Mariscos, Libre de Sulfitos",3 Trozos (20 g),5,550 / 110,6.9 / 1.4,35 / 7,18 / 3.6,0.5 / 0.1,24 / 4.8,51 / 10.2,49 / 9.8,82 / 16.4,,solido,por_100g,SI,SI,SI,NO,3
Jumbo,Chocolate de Leche Toblerone 100 g,Toblerone,"Chocolates en Barra > Chocolates > Chocolates, Galletas y Snacks > Experiencias Jumbo > Mundo Bio Natura > Libre de Gluten",https://www.jumbo.cl/chocolate-de-leche-toblerone-caja-100-g,"Azúcar,  Leche entera en polvo,  Manteca de cacao,  Pasta de cacao,  Miel (3.1%),  Grasa anhidra de leche,  Almendras (1.6%),  Azúcar invertido,  Clara de huevo,  Emulsionante (lecitina de soja),  Aroma idéntico a natural (vainillina),  Nougat 10%,  Leche,  Almendra,  Derivados de soja,  Derivados de huevo","Vegetariano, Libre de Peces, Libre de Mariscos, Libre de Maní, Libre de Nueces, Libre de Sulfitos, Libre de Trigo, Libre de Gluten",1/4 Unidad (25 g),4,530 / 132.5,5.6 / 1.4,29 / 7.3,18 / 4.5,0.3 / 0.1,24 / 6,61 / 15.3,60 / 15,50 / 12.5,,solido,por_100g,SI,SI,SI,NO,3
Jumbo,Chocolate de Leche Villars 100 g,Villars,"Chocolates en Barra > Chocolates > Chocolates, Galletas y Snacks",https://www.jumbo.cl/chocolate-de-leche-villars-100-g,"Azúcar,  Manteca de cacao,  Leche entera en polvo,  Masa de cacao,  Suero de leche en polvo,  Grasa mantequilla,  Aromatizante natural,  Leche","Vegetariano, Libre de Peces, Libre de Mariscos, Libre de Maní, Libre de Sulfitos",4 Trozos (40 g),2,570 / 228,7 / 2.8,38 / 15.2,23 / 9.2,0 / 0,28 / 11.2,49 / 19.6,49 / 19.6,117 / 46.8,,solido,por_100g,SI,SI,SI,NO,3
Jumbo,Chocolate de Leche Bambino 80 g,Costa,"Chocolates en Barra > Chocolates > Chocolates, Galletas y Snacks",https://www.jumbo.cl/bambino-80-gr-1964088,"Azúcar,  Leche en polvo,  Manteca de cacao,  Aceite vegetal fraccionado de shea,  Aceite vegetal fraccionado de palma,  Pasta de cacao,  Suero de leche,  Emulsionante lecitina de soya,  Saborizantes artificiales,  Leche,  Soya","Vegetariano, Libre de Peces, Libre de Mariscos",6 Cuadrados (26 g),3,579 / 150.5,5.2 / 1.4,38 / 9.9,23.9 / 6.2,0.76 / 0.2,15 / 3.9,54 / 14,54 / 14,141 / 36.7,,solido,por_100g,SI,SI,SI,NO,3
Jumbo,Chocolate de Leche Salzburgo 229 g,Salzburgo,"Bombones y Trufas > Chocolates > Chocolates, Galletas y Snacks",https://www.jumbo.cl/chocolate-macizo-leche-33-229grs-1997628,"Azúcar,  Leche en polvo entera,  Manteca de cacao,  Cacao en pasta,  Lecitina de soya,  Saborizante idéntico a natural,  Leche","Vegetariano, Libre de Huevo, Libre de Peces, Libre de Mariscos, Libre de Maní",3 Unidades (21 g),10,553 / 116.1,7.4 / 1.6,34.5 / 7.2,20.8 / 4.4,0.4 / 0.1,23.1 / 4.9,51.7 / 10.9,50.8 / 10.7,87.5 / 18.4,,solido,por_100g,SI,SI,SI,NO,3
Jumbo,Leche Entera Loncoleche 200 ml,Loncoleche,"Leche Líquida > Leches > Lácteos, Huevos y Congelados",https://www.jumbo.cl/leche-entera-200ml-2076043,,,,,,,,,,,,,,,liquido,por_100ml,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Leche Semidescremada Loncoleche 200 ml,Loncoleche,"Chocolates y Tentaciones > Chocolates > Chocolates, Galletas y Snacks",https://www.jumbo.cl/leche-semid-200ml-2076044,,,,,,,,,,,,,,,indeterminado,por_100g,sin_datos,sin_datos,sin_datos,sin_datos,0
